"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12866497","148","229","Usina - Castelo (Circular)","229-USINA - CASTELO (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12866497&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12861352","148","335","Cordovil - Tiradentes (Rápido) (Circular)","335-CORDOVIL - TIRADENTES (RAPIDO) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861352&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12860342","148","438","Vila Isabel - Leblon (via Jóquei) (Circular)","438-VILA ISABEL - LEBLON (VIA JOQUEI) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860342&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12862188","148","678","Méier - Vila Valqueire","678-MEIER - VILA VALQUEIRE","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862188&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12864239","148","866","Campo Grande - Pedra de Guaratiba (via Estrada do Magarça) (Circular)","866-CAMPO GRANDE - PEDRA DE GUARATIBA (VIA MAGARCA) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864239&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12861114","148","638","Saens Peña - Marechal Hermes (Circular)","638-SAENS PENA - MARECHAL HERMES (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861114&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12861152","148","463","São Cristóvão - Copacabana (via Túnel Rebouças/Túnel Velho) (Circular)","463-SAO CRISTOVAO - COPACABANA (VIA TUNEL REBOUCAS / TUNEL VELHO) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861152&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12863052","148","775","Vigário Geral - Madureira (Circular)","775-VIGARIO GERAL - MADUREIRA (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12863052&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12867330","148","378","Marechal Hermes - Castelo","378-MARECHAL HERMES - CASTELO","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12867330&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12862136","148","361","Recreio dos Bandeirantes - Carioca (via Linha Amarela)","361-RECREIO DOS BANDEIRANTES - CARIOCA (VIA LINHA AMARELA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862136&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12864001","148","2018","Aeroporto Internacional do RJ (AIRJ) - Alvorada","2018-AEROPORTO GALEAO - ALVORADA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864001&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12868616","148","622","Penha - Saens Peña (via Grajaú) (Circular)","622-PENHA - SAENS PENA (VIA GRAJAU) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12868616&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12860223","148","794","Cascadura - Bangu (via Barata)","794-BANGU - CASCADURA (VIA BARATA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860223&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
